Ref ID,Reference,Propellant type,Test #,Mass (kg),Fireball or Plume Distance (m),Measurement Distance (m),Burn time (sec),Peak flux (cal/cm^2/s),Av. flux (cal/cm^2/s),Hazard: Source,Event Type,Drum diameter (cm),Configuration,Notes
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,5,40,0.194620253,0.073441605,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,5,40,0.227848101,0.085980416,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,5,40,0.238924051,0.090160019,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,5,40,0.357594937,0.134941486,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,3,40,0.367088608,0.138524003,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,3,40,0.387658228,0.146286124,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,3,40,0.387658228,0.146286124,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,2,40,0.715189873,0.269882971,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,2,40,0.757911392,0.286004299,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,2,40,0.865506329,0.326606162,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,9,50,,2,40,0.92721519,0.349892524,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,5,51,0.124100273,0.046830292,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,5,51,0.157607347,0.05947447,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,5,51,0.16381236,0.061815985,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,5,51,0.275502606,0.103963248,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,3,51,0.251923554,0.095065492,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,3,51,0.275502606,0.103963248,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,3,51,0.300322661,0.113329306,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,2,51,0.58203028,0.219634068,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,2,51,0.58203028,0.219634068,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,10,50,,2,51,0.742119633,0.280045144,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,10,59,0.040763785,0.01538256,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,10,59,0.040763785,0.01538256,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,10,59,0.040763785,0.01538256,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,10,59,0.052027462,0.019633004,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,5,59,0.207037116,0.078127214,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,5,59,0.207037116,0.078127214,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,5,59,0.214546235,0.080960843,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,5,59,0.288564686,0.108892334,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,3,59,0.50311092,0.189853178,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,3,59,0.515983694,0.194710828,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,3,59,0.532074662,0.200782891,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,11,100,,3,59,0.675820639,0.255026656,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,10,53,0.042273704,0.015952341,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,10,53,0.045378553,0.017123982,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,10,53,0.050035825,0.018881443,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,10,53,0.063291139,0.023883449,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,5,53,0.248387867,0.093731271,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,5,53,0.24958204,0.094181902,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,5,53,0.24958204,0.094181902,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,5,53,0.279436351,0.105447679,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,3,53,0.560066874,0.21134599,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,3,53,0.560066874,0.21134599,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,3,53,0.574396943,0.216753563,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,12,100,,3,53,0.574396943,0.216753563,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,10,72,0.059862869,0.022589762,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,10,72,0.065576653,0.024745907,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,10,72,0.069092827,0.026072765,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,10,72,0.069092827,0.026072765,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,5,72,0.345464135,0.130363825,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,5,72,0.364803094,0.137661545,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,5,72,0.388537271,0.146617838,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,5,72,0.412271449,0.155574132,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,3,72,0.552918425,0.208648462,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,3,72,0.598628692,0.22589762,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,3,72,0.616209564,0.232531911,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,13,200,,3,72,0.632911392,0.238834488,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,14,200,,10,66,0.068085923,0.025692801,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,14,200,,10,66,0.068085923,0.025692801,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",35mm propellant,14,200,,10,66,0.075373993,0.028443016,Heat Flux: Test Data,,,,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential"
